,Title,IMDB_id,Date of release,Genre,IMDB_rating,IMDB_Votes,Cast & Crew,Plot_keywords,Plot_summary
933,Waqt Hamara Hai (1993),tt0290331,2 July 1993,"Action, Comedy, Romance",6.0,1.5K,"Akshay Kumar, Sunil Shetty, Ayesha Jhulka, Mamta Kulkarni, Rami Reddy, Aruna Irani, Anupam Kher, Tiku Talsania, Mahesh Anand, Viju Khote, Arun Bakshi, Shubha Khote, Guddi Maruti, Sudhir Dalvi, Gavin Packard, Viju Penkar, Hanif Chatriwala, Jay Dev, Aftab Khan, Ragesh Asthana, Anand Mishra, Raju Delhiwala, Somesh Agarwal, C.P. Saxena, Dinesh Anand, Praveen Kumar, Annu Kapoor, ","flirting, prank, uncle nephew relationship, parody, hazing, father son relationship, mother son relationship, sister sister relationship, politician, newspaper, student, slacker, kickboxing, kidnapping, terrorist, torture, miser, two man army, fistfight, villain, good versus evil, college, lifting a car, fight, dream, disguise, bicycle, cigarette smoking, promise, changing a tire, man wears eyeglasses, murder, love, police officer, husband wife relationship, martial arts, mother daughter relationship, brawl, stabbed to death, costume, protest, roundhouse kick, father daughter relationship, parking garage, fight in a parking garage, bare chested male, mask, superman costume, hotel, hero, campfire, arms tied overhead, actor shares first name with character, ",Two prankster best friends gets unwittingly involved in a terrorist plot and tries their best to save the country.
934,Nan,Nan,Nan,Nan,0.0,Nan,Nan,Nan,Nan
935,Koshish (1972),tt0215911,27 November 1972,Drama,8.5,1.6K,"Sanjeev Kumar, Jaya Bachchan, Asrani, Seema Deo, Om Shivpuri, Dina Pathak, Nitin Sethi, Atam Prakash, Urmila Bhatt, Master Chintu, Manjula, Mona Rajput, Nasir, Kamaldeep, Yash, Sheikh, Biren Tripathy, Rajan Verma, Devdas, Navin Pandya, Rajpuri, Ramesh Deo, Dilip Kumar, Moolchand, Keshto Mukherjee, ","deaf mute, sign language, marriage, blind man, lip reading, lullaby, deafness, school, deaf parent, baby, classroom, mother son relationship, father son relationship, song, beach, marriage proposal, ",A speech and hearing-impaired couple persists through unforgiving obstacles to be accepted by society and live a life of dignity.
936,Aarzoo (1999),tt0284811,19 March 1999,"Drama, Romance",5.4,1.5K,"Madhuri Dixit, Akshay Kumar, Saif Ali Khan, Paresh Rawal, Amrish Puri, Yunus Parvez, Ranjan Kaushal, Anil Nagrath, Vikas Anand, Tarana, Arun Kumar, Baby Sadat, Baby Gazala, Baby Sundas, Mohan Joshi, Laxmikant Berde, Aruna Irani, Reema Lagoo, Mukesh Rishi, Tej Sapru, ","lust, father daughter relationship, rivalry, heartbreak, businessman, flirting, child kidnapping, presumed dead, remorse, london england, pilot, love triangle, murder, love, husband wife relationship, shot to death, funeral, shot in the back, man and woman in shower, racquetball, foreplay, shower, death of friend, ","After her fiance, Vijay, is killed in a crash, a pregnant Pooja agrees to marry Amar, her childhood friend who has always loved her. But her life takes yet another turn when Vijay returns to... Read all"
937,Pakeezah (1972),tt0067546,  1972,"Musical, Romance, Drama",7.3,1.6K,"Ashok Kumar, Meena Kumari, Raaj Kumar, Veena, D.K. Sapru, Kamal Kapoor, Vijay Laxmi, Jagdish Kanwal, Nadira, Pratima Devi, Prakash Gill, Altaf, Praveen Paul, Lotan, Chanda, Meenaxi, Chandra Mohan, Zebunissa, Sarita Devi, Jagdish Bhalla, M.K. Mishra, Begum Bai, Rafiya Sultana, S. Nazir, Heena Kausar, Rafiqah Banu, Begum Rizvi, Bilquis, Naseem Banu, Reshma, Shabana, Razia, Latif, Geetanjali, Ali Majid, Bihari, Aqeel, Geeta Kapoor, Uma Dhawan, Geeta Kapoor, Dharmendra, Padma Khanna, ","brothel, train, prostitute, forbidden love, river, symbolism, female protagonist, bird in a cage, secret admirer, star crossed lovers, train compartment, bare feet, courtesan, heartbreak, muslim, title spoken by character, dance, tent, canceled wedding, riverboat, shot in the hand, train whistle, gift, feather, stampede, elephant, barefoot woman, letter, death of sister, death, nobleman, famous song, cemetery, local blockbuster, illegitimate daughter, ","In Lucknow at the turn of the century, a dancer and courtesan believes that her pure soul and body will enable her to find true love and honor."
938,Ab Tumhare Hawale Watan Saathiyo (2004),tt0397882,24 December 2004,"Action, Drama, War",4.6,1.5K,"Amitabh Bachchan, Akshay Kumar, Bobby Deol, Divya Khosla Kumar, Sandali Sinha, Nagma, Aarti Chhabria, Kapil Kaustubh Sharma, Surendra Pal, Rajesh Vivek, Vivek Shauq, Danny Denzongpa, Govind Namdeo, Vishwajeet Pradhan, Ashutosh Rana, Ashok Beniwal, Puran Chauhan, Sujata Kumar, Rajan Modi, Amrish Puri, Arif Zakaria, ","army, terrorist, soldier, presumed dead, widow, train, torture, terrorism, sikh, shot in the leg, self discovery, railway station, prisoner of war, poetry, molotov cocktail, indian pakistani, grandfather grandson relationship, explosion, army officer, actor playing multiple roles, ",Kunal unwillingly joins the army to maintain his family's tradition and soon finds himself fighting ruthless terrorists who want to destroy the peace and harmony between India and Pakistan.
939,Ramayana: The Legend of Prince Rama (1992),tt0259534,10 May 1992,"Animation, Action, Adventure",9.0,2.8K,"Bryan Cranston, Arun Govil, Edie Mirman, Rael Padamsee, Namrata Sawhney, James Earl Jones, Shatrughan Sinha, Jinder Walia, Amrish Puri, Mishal Varma, Tom Wyner, Richard Cansino, Shakti Singh, Dilip Sinha, Michael Sorich, Madhulika Varma, Pearl Padamsee, Shagufta Jaffrey, Sugriv, Cyrus Broacha, Catherine Battistone, Mari Devon, Barbara Goodson, Tony Pope, Barbera Prescott, Mike Reynolds, Prateek Sahai, Srija, ","prince, india, reference to god, based on book, character name in title, rama, ramayan, sita, legend, anime, epic, national spirit, hero, asian culture, ","An anime adaptation of the Hindu epic the Ramayana, where Lord Ram combats the wicked king Ravana."
940,Chaalbaaz (1989),tt0122427,8 December 1989,"Action, Comedy, Drama",6.8,1.5K,"Sridevi, Sunny Deol, Rajinikanth, Anupam Kher, Shakti Kapoor, Annu Kapoor, Saeed Jaffrey, Aruna Irani, Rohini Hattangadi, Aftab Shivdasani, Kader Khan, Johnny Lever, Harbans Darshan M. Arora, Ajay Wadhavkar, ","telephone call, theft, dancing, fight, identical twins, bar, cult film, same actress playing twin role, female protagonist, tough girl, identity swap, good versus evil, comeuppance, whipping, mugging, makeup, telephone booth, drugs, drinking, alcohol, sunday, reference to mahatma gandhi, slum, vigilante, signature, father son relationship, nanny, marriage proposal, dancer, scheming uncle, torment, injection, poison, taxi driver, twins separated at birth, car accident, mistaken identity, property deed, confusion, whip, revenge, ","Twins separated at infancy are brought up differently. One weak, one strong. One day, they end up at each others house. Their life is not the same anymore."
941,Tum Mile (2009),tt1522329,13 November 2009,"Drama, Romance",5.0,1.6K,"Emraan Hashmi, Soha Ali Khan, Prerna Chawla, Akshat R Saluja, J. Brandon Hill, Sachin Khedekar, Mantra Mugdh, Rituraj Singh, Atul Srivastava, ","love, ",Two former lovers experience life-threatening floods in Mumbai.
942,Nan,Nan,Nan,Nan,0.0,Nan,Nan,Nan,Nan
943,Nan,Nan,Nan,Nan,0.0,Nan,Nan,Nan,Nan
944,Indu Sarkar (2017),tt6620324,28 July 2017,"Drama, Thriller",6.0,1.5K,"Kirti Kulhari, Tota Roy Chowdhury, Neil Nitin Mukesh, Ankur Vikal, Sheeba Chaddha, Parvin Dabas, Abhinav Sharma, Anupam Kher, Manav Vij, Rashmi Jha, Ganesh Kumar, Ishika Taneja, Bikramjeet Kanwarpal, Mujtaba Aziz Khan, Jashn Agnihotri, Abhishek Gautam, Nitanshi Goel, Zakir Hussain, Rahul Jaiswal, Mohan Kapur, Tiwari Nirmal, Purohit Pankaj, Varun Singh Rajput, Ankur Tandon, Aparna Upadhyay, Supriya Vinod, ","prime minister, ",Indu Sarkar is set during the emergency period between 1975 to 1977 declared by Prime Minister Indra Gandhi.
945,Nan,Nan,Nan,Nan,0.0,Nan,Nan,Nan,Nan
